Role,Enneagram,Wing,MBTI,Western Zodiac,Chinese Zodiac,Notes
Chairman (Cedric),8,8w7,ENTP/INTP,Sagittarius,Fire Dragon,You (Chairman). Conflict used constructively; sets pressure + direction.
CEO,9,9w8,ISFJ,Libra,Monkey,Pleasant day-to-day convo; translates Chairmanâ€™s intensity into alignment + decisions.
CFO,6,6w5,ISTJ,Capricorn,Ox,"Risk, controls, governance"
CIO,5,5w6,INTJ,Aquarius,Rat,Architecture + security mindset
CLO,1,1w9,INFJ,Virgo,Rooster,Principle + diplomacy
CMO,3,3w2,ENFJ,Leo,Horse,Brand + persuasion
COO,8,8w9,ESTJ,Aries,Tiger,Accountability + execution cadence
CPO,3,3w4,ENTJ,Scorpio,Snake,Outcomes + product taste
CTO,5,5w6,INTP,Gemini,Rabbit,Deep technical reasoning
EXA,2,2w1,ESFJ,Cancer,Dog,Anticipatory support + order
